b'\xf0\x9f\xa6\x84 Kim hopeless era \xf0\x9f\x8e\x84\xf0\x9f\x8e\x8b',339,2023-04-19 23:57:15+00:00,b'RT @MooniumToken: Fair launching tomorrow at 22:00 UTC Join our telegram group to stay tuned more information in our website\n\nhttps://t.co/\xe2\x80\xa6',1648838200784486400,b'RT : Fair launching tomorrow at :00 UTC Join our telegram group to stay tuned more information in our website\n\n'
b'$100 freetag.',542,2023-04-19 23:54:54+00:00,b'RT @MooniumToken: Fair launching tomorrow at 22:00 UTC Join our telegram group to stay tuned more information in our website\n\nhttps://t.co/\xe2\x80\xa6',1648837610306174976,b'RT : Fair launching tomorrow at :00 UTC Join our telegram group to stay tuned more information in our website\n\n'
b'Wee Blue Ghost',467,2023-04-19 23:54:00+00:00,"b'- \nBTC price: $28,835 / \xc2\xa324,094 \n\n34.68 Naks per USD\n41.5 Naks per GBP\n\nA #Nak is one millionth of a #Bitcoin so it\xe2\x80\xa6 https://t.co/OlfQZdZqmx'",1648837384018993156,"b'- \nBTC price: $28,835 / \xc2\xa324,094 \n\n34.68 Naks per USD\n41.5 Naks per GBP\n\nA is one millionth of a so it\xe2\x80\xa6 '"
b'Vy henituse',774,2023-04-19 23:53:02+00:00,b'RT @MooniumToken: Fair launching tomorrow at 22:00 UTC Join our telegram group to stay tuned more information in our website\n\nhttps://t.co/\xe2\x80\xa6',1648837137457119233,b'RT : Fair launching tomorrow at :00 UTC Join our telegram group to stay tuned more information in our website\n\n'
b'jems || 10 days no win',664,2023-04-19 23:49:30+00:00,b'RT @MooniumToken: Fair launching tomorrow at 22:00 UTC Join our telegram group to stay tuned more information in our website\n\nhttps://t.co/\xe2\x80\xa6',1648836250340827136,b'RT : Fair launching tomorrow at :00 UTC Join our telegram group to stay tuned more information in our website\n\n'
b'Jessie Duval\xe2\x9c\x9d\xef\xb8\x8f',200,2023-04-19 23:44:28+00:00,b'RT @ComstockRoyalty: #BITCOIN CRASHES DOWN $1700.00\n\nGOT SILVER?\nGOT GOLD?\nGOT #MiningStocks ?\n\nSee you at #SilverisMoney on Telegram. http\xe2\x80\xa6',1648834983589445632,b'RT : CRASHES DOWN $1700.00\n\nGOT SILVER?\nGOT GOLD?\nGOT ?\n\nSee you at on Telegram. http\xe2\x80\xa6'
b'Eurexcoin.com',64,2023-04-19 23:43:22+00:00,b'1: Bitcoin price is $29026.99 (-0.53% 1h)\n2: Ethereum price is $1961.10 (-0.66% 1h)\n3: Tether price is $1.00 (0.01%\xe2\x80\xa6 https://t.co/zwIXDlljo3',1648834705364602886,b'1: Bitcoin price is $29026.99 (-0.53% h)\n2: Ethereum price is $1961.10 (-0.66% h)\n3: Tether price is $1.00 (0.01%\xe2\x80\xa6 '
b'by again',857,2023-04-19 23:42:03+00:00,b'RT @MooniumToken: Fair launching tomorrow at 22:00 UTC Join our telegram group to stay tuned more information in our website\n\nhttps://t.co/\xe2\x80\xa6',1648834373624688640,b'RT : Fair launching tomorrow at :00 UTC Join our telegram group to stay tuned more information in our website\n\n'
b'ARMOR OF GOD NEWS',259,2023-04-19 23:41:15+00:00,b'RT @IGSquawk: Top IG 5 Crypto update\nBitcoin 29152.00 -0.33%\nEther 1968.89 -0.61%\nCardano 0.4181 +0%\nDogecoin 0.0881 -1.12%\nPolkadot 6.3711\xe2\x80\xa6',1648834173300350993,b'RT : Top IG Crypto update\nBitcoin %\nEther %\nCardano +0%\nDogecoin %\nPolkadot \xe2\x80\xa6'
b'Wee Blue Ghost',467,2023-04-19 23:40:55+00:00,"b'- \nBTC price: $28,751 / \xc2\xa324,024 \n\n34.78 Naks per USD\n41.62 Naks per GBP\n\nA #Nak is a millionth of a #Bitcoin. \nA\xe2\x80\xa6 https://t.co/pt1McDyAlu'",1648834089288450048,"b'- \nBTC price: $28,751 / \xc2\xa324,024 \n\n34.78 Naks per USD\n41.62 Naks per GBP\n\nA is a millionth of a . \nA\xe2\x80\xa6 '"
b'Nisa',3432,2023-04-19 23:40:02+00:00,b'Your Surprise!\n: 3.58 %\n$juv : 4.20 %\n$nu : 2.79 %\n$fil : 4.00 %\n$tru : 4.43 %\n#bitcoin : 3.89 %\n$uni : 1.16 %\xe2\x80\xa6 https://t.co/mhKUaLSIGP',1648833869313875972,b'Your Surprise!\n: %\n$juv : %\n$nu : %\n$fil : %\n$tru : %\n : %\n$uni : %\xe2\x80\xa6 '
b'Bitcoin Moses',1420,2023-04-19 23:39:42+00:00,b'trade stats\n        date &amp; time: 2023-04-20 00:39:37\n        number trades: 13118\n        number buys: 6576\xe2\x80\xa6 https://t.co/aeZrX9Wmpp',1648833781443248130,b'trade stats\n date &amp; time: -04-20 :39:37\n number trades: \n number buys: \xe2\x80\xa6 '
b'xilena00\xe2\x9a\xa1',796,2023-04-19 23:39:21+00:00,b'RT @THNDRGAMES:  SPECIAL THNDR EVENT \n\nWe want to support Bitcoin Education and what a better way than doing a special event for awareness\xe2\x80\xa6',1648833695392886790,b'RT : SPECIAL THNDR EVENT \n\nWe want to support Bitcoin Education and what a better way than doing a special event for awareness\xe2\x80\xa6'
